C,Mn,Conditions_encoded,SAE_Class,UTS (MPa),YS (MPa),Elongation (%),Hardness (HB)
0.08,0.325,20,0,295,165,30.0,86.0
0.08,0.325,19,0,330,285,20.0,95.0
0.1,0.4,20,0,305,170,30.0,86.0
0.1,0.4,19,0,340,285,20.0,95.0
0.10500000000000001,0.4,20,0,325,180,28.0,95.0
0.10500000000000001,0.4,19,0,365,305,20.0,105.0
0.125,0.44999999999999996,20,0,330,185,28.0,95.0
0.125,0.44999999999999996,19,0,370,310,19.0,105.0
0.155,0.44999999999999996,20,0,345,190,28.0,101.0
0.155,0.44999999999999996,19,0,385,325,18.0,111.0
0.155,0.75,20,0,380,205,25.0,110.0
0.155,0.75,19,0,420,350,18.0,121.0
0.175,0.44999999999999996,20,0,365,200,26.0,105.0
0.175,0.44999999999999996,19,0,405,340,18.0,116.0
0.175,0.75,20,0,400,220,25.0,116.0
0.175,0.75,19,0,440,370,15.0,126.0
0.175,0.85,20,0,405,225,25.0,116.0
0.175,0.85,19,0,455,380,15.0,131.0
0.20500000000000002,0.44999999999999996,20,0,380,205,25.0,111.0
0.20500000000000002,0.44999999999999996,19,0,420,350,15.0,121.0
0.20500000000000002,0.75,20,0,420,230,24.0,116.0
0.20500000000000002,0.75,19,0,470,395,15.0,131.0
0.20500000000000002,0.85,20,0,425,235,23.0,121.0
0.20500000000000002,0.85,19,0,475,400,15.0,137.0
0.225,0.44999999999999996,20,0,385,215,25.0,111.0
0.225,0.44999999999999996,19,0,425,360,15.0,121.0
0.25,0.44999999999999996,20,0,400,220,25.0,116.0
0.25,0.44999999999999996,19,0,440,370,15.0,126.0
0.25,0.75,20,0,440,240,24.0,126.0
0.25,0.75,19,0,490,415,15.0,143.0
0.31000000000000005,0.75,20,0,470,260,20.0,137.0
0.31000000000000005,0.75,19,0,525,440,12.0,149.0
0.35,0.75,20,0,495,270,18.0,143.0
0.35,0.75,17,0,550,460,12.0,163.0
0.35,0.85,20,0,510,280,18.0,143.0
0.35,0.85,17,0,565,475,12.0,167.0
0.385,0.75,20,0,515,285,18.0,149.0
0.385,0.75,17,0,570,485,12.0,163.0
0.405,0.85,20,0,545,300,16.0,156.0
0.405,0.85,19,0,605,510,12.0,179.0
0.405,0.75,20,0,525,290,18.0,149.0
0.405,0.75,19,0,585,490,12.0,170.0
0.435,0.75,20,0,550,305,16.0,163.0
0.435,0.75,19,0,615,515,12.0,179.0
0.435,0.75,34,0,585,505,12.0,179.0
0.435,0.85,20,0,565,310,16.0,163.0
0.435,0.85,19,0,625,530,12.0,179.0
0.435,0.85,34,0,600,515,12.0,179.0
0.46499999999999997,0.44999999999999996,20,0,550,305,16.0,163.0
0.46499999999999997,0.75,20,0,565,310,16.0,163.0
0.46499999999999997,0.75,19,0,625,530,12.0,179.0
0.46499999999999997,0.75,15,0,585,505,12.0,170.0
0.46499999999999997,0.85,20,0,585,325,15.0,170.0
0.46499999999999997,0.85,19,0,650,545,12.0,187.0
0.46499999999999997,0.85,15,0,620,515,12.0,179.0
0.495,0.75,20,0,600,330,15.0,179.0
0.495,0.75,19,0,670,560,10.0,197.0
0.495,0.75,16,0,635,530,10.0,187.0
0.515,0.75,20,0,620,340,15.0,179.0
0.515,0.75,19,0,690,580,10.0,197.0
0.515,0.75,16,0,655,550,10.0,189.0
0.55,0.75,20,0,650,355,12.0,192.0
0.55,0.75,16,0,660,560,10.0,197.0
0.6000000000000001,0.75,20,0,675,370,12.0,201.0
0.6000000000000001,0.75,42,0,620,485,10.0,183.0
0.6499999999999999,0.65,20,0,670,370,12.0,201.0
0.6499999999999999,0.65,42,0,615,475,10.0,183.0
0.6499999999999999,0.75,20,0,690,380,12.0,207.0
0.6499999999999999,0.75,42,0,635,490,10.0,187.0
0.7,0.75,20,0,705,385,12.0,212.0
0.7,0.75,42,0,640,495,10.0,192.0
0.75,0.65,20,0,725,400,12.0,217.0
0.75,0.65,42,0,650,505,10.0,192.0
0.7849999999999999,0.44999999999999996,20,0,690,380,12.0,207.0
0.7849999999999999,0.44999999999999996,42,0,650,500,10.0,192.0
0.815,0.75,20,0,770,425,10.0,229.0
0.815,0.75,42,0,675,515,10.0,192.0
0.865,0.75,20,0,820,450,10.0,241.0
0.865,0.75,42,0,690,530,10.0,192.0
0.875,0.85,20,0,835,460,10.0,248.0
0.875,0.85,42,0,695,540,10.0,192.0
0.865,0.4,20,0,770,425,10.0,229.0
0.865,0.4,42,0,670,510,10.0,192.0
0.915,0.75,20,0,840,460,10.0,248.0
0.915,0.75,42,0,695,540,10.0,197.0
0.9650000000000001,0.4,20,0,825,455,10.0,248.0
0.9650000000000001,0.4,42,0,680,525,10.0,197.0
0.10500000000000001,0.65,20,1,345,190,30.0,101.0
0.10500000000000001,0.65,17,1,385,325,20.0,121.0
0.10500000000000001,0.75,20,1,345,190,30.0,101.0
0.10500000000000001,0.75,17,1,385,325,20.0,121.0
0.17,1.15,20,1,425,235,23.0,121.0
0.17,1.15,19,1,475,400,15.0,137.0
0.17,1.4500000000000002,20,1,450,250,23.0,131.0
0.17,1.4500000000000002,19,1,495,420,15.0,143.0
0.17,1.15,20,1,425,235,23.0,121.0
0.17,1.15,19,1,475,400,15.0,137.0
0.30500000000000005,1.5,20,1,570,315,16.0,167.0
0.30500000000000005,1.5,19,1,635,530,12.0,183.0
0.355,1.5,20,1,605,330,15.0,179.0
0.355,1.5,19,1,675,565,10.0,197.0
0.405,0.85,20,1,545,300,16.0,156.0
0.405,0.85,19,1,605,510,12.0,170.0
0.41000000000000003,1.5,20,1,650,355,15.0,187.0
0.41000000000000003,1.5,19,1,725,605,10.0,212.0
0.44,1.5,20,1,670,365,15.0,197.0
0.44,1.5,18,1,745,620,10.0,217.0
0.45499999999999996,0.85,20,1,585,325,15.0,170.0
0.45499999999999996,0.85,19,1,650,550,12.0,187.0
0.45499999999999996,0.85,21,1,585,325,15.0,170.0
0.45499999999999996,0.85,19,1,650,550,12.0,187.0
0.515,0.85,20,1,635,350,15.0,187.0
0.515,0.85,19,1,705,595,10.0,207.0
0.13,0.095,20,2,380,230,25.0,121.0
0.13,0.095,19,2,515,400,10.0,163.0
0.13,0.095,20,2,385,230,25.0,121.0
0.13,0.095,19,2,540,415,10.0,167.0
0.13,0.095,20,2,385,230,25.0,121.0
0.13,0.095,17,2,540,415,10.0,167.0
0.015,1.0,20,2,395,235,22.0,121.0
0.015,1.0,19,2,540,415,10.0,163.0
0.405,1.75,26,3,834,558,22.0,248.0
0.405,1.75,1,3,703,434,25.5,207.0
0.22,1.5,20,4,510,285,20.0,149.0
0.22,1.5,19,4,565,475,12.0,163.0
0.255,1.35,20,4,515,285,18.0,149.0
0.255,1.35,19,4,570,485,12.0,163.0
0.33499999999999996,1.35,20,4,570,315,16.0,163.0
0.33499999999999996,1.35,19,4,635,535,12.0,187.0
0.4,1.5,20,4,635,350,15.0,187.0
0.4,1.5,19,4,705,600,10.0,207.0
0.4,1.5,15,4,650,550,10.0,184.0
0.47,1.5,20,4,650,360,15.0,192.0
0.47,1.5,19,4,710,605,10.0,207.0
0.47,1.5,15,4,655,585,10.0,187.0
0.48,1.225,20,4,660,365,14.0,197.0
0.48,1.225,19,4,735,615,10.0,217.0
0.48,1.225,15,4,645,540,10.0,192.0
0.51,1.35,20,4,745,410,12.0,217.0
0.51,1.35,16,4,675,570,10.0,193.0
0.405,0.8,26,5,889,600,19.7,262.0
0.405,0.8,4,5,690,420,24.5,197.0
0.30500000000000005,0.5,26,6,670,435,25.5,197.0
0.30500000000000005,0.5,12,6,560,460,21.5,217.0
0.30500000000000005,0.5,45,6,1040,979,18.1,302.0
0.405,0.875,26,6,1020,655,17.7,302.0
0.405,0.875,4,6,655,915,25.7,197.0
0.405,0.875,44,6,1075,986,15.5,311.0
0.505,0.875,26,6,116,731,11.7,321.0
0.505,0.875,7,6,731,380,20.2,197.0
0.505,0.875,39,6,1310,1215,13.5,375.0
0.195,0.55,29,7,793,460,20.8,235.0
0.195,0.55,10,7,580,425,29.0,163.0
0.405,0.7,26,7,1282,862,12.2,363.0
0.405,0.7,2,7,745,470,22.0,217.0
0.405,0.7,36,7,1207,1145,14.2,352.0
0.20500000000000002,0.55,33,8,515,350,32.5,143.0
0.20500000000000002,0.55,14,8,450,330,31.2,121.0
0.195,0.55,30,9,570,365,29.0,174.0
0.195,0.55,11,9,510,370,31.3,149.0
0.20500000000000002,0.6,23,10,758,485,24.0,229.0
0.20500000000000002,0.6,4,10,685,460,22.3,197.0
0.405,0.8,26,11,793,470,22.7,229.0
0.405,0.8,7,11,570,290,28.6,167.0
0.405,0.8,40,11,972,841,18.5,293.0
0.505,0.8,26,11,869,530,20.7,255.0
0.505,0.8,6,11,675,360,22.0,197.0
0.505,0.8,38,11,1055,1000,16.4,311.0
0.6000000000000001,0.875,22,11,1025,650,18.2,285.0
0.6000000000000001,0.875,3,11,724,275,17.2,197.0
0.6000000000000001,0.875,39,11,1145,1005,14.5,341.0
0.505,0.8,26,12,938,615,21.8,269.0
0.505,0.8,4,12,670,415,23.0,197.0
0.505,0.8,41,12,1200,1160,14.5,352.0
0.20500000000000002,0.8,32,13,635,360,26.3,183.0
0.20500000000000002,0.8,13,13,540,385,31.3,149.0
0.30500000000000005,0.8,25,13,650,425,23.5,187.0
0.30500000000000005,0.8,8,13,565,370,29.0,156.0
0.30500000000000005,0.8,43,13,931,850,18.7,269.0
0.505,0.875,24,13,1025,690,14.0,302.0
0.505,0.875,0,13,715,385,22.5,212.0
0.505,0.875,37,13,1185,1105,14.5,352.0
0.405,0.875,27,14,931,605,16.0,269.0
0.405,0.875,5,14,696,415,22.2,201.0
0.405,0.875,39,14,1225,1130,16.0,352.0
0.55,0.825,31,15,931,580,19.7,269.0
0.55,0.825,9,15,779,485,21.7,229.0
0.55,0.825,35,15,1130,924,16.7,321.0
