C,Mn,Si,Ni,Cr,Conditions_encoded,SAE_Class,UTS (MPa),YS (MPa),Elongation (%),Hardness (HB)
0.2,1.0,1.0,1.0,20.5,9,25,515.0,310.0,30.0,160.0
0.2,1.0,1.0,1.0,20.5,8,25,545.0,427.0,35.5,191.0
0.2,1.5,1.0,0.25,25.0,9,26,550.0,345.0,25.0,167.0
0.2,1.5,1.0,0.25,25.0,7,26,607.0,462.0,26.0,216.0
0.15,1.0,1.0,1.88,12.5,9,20,795.0,620.0,20.0,235.0
0.15,1.0,1.0,1.88,12.5,14,20,895.0,795.0,15.0,270.0
0.2,1.0,1.0,1.875,16.0,9,23,860.0,655.0,20.0,260.0
0.2,1.0,1.0,1.875,16.0,4,23,895.0,760.0,15.0,270.0
0.2,1.0,1.0,1.875,16.0,22,23,1435.0,1140.0,17.0,419.0
1.075,1.0,1.0,0.75,17.0,9,24,760.0,450.0,14.0,223.0
1.075,1.0,1.0,0.75,17.0,5,24,860.0,690.0,7.0,260.0
1.075,1.0,1.0,0.75,17.0,18,24,1970.0,1900.0,2.0,580.0
0.15,6.5,1.0,4.5,17.0,3,0,760.0,380.0,52.0,170.0
0.15,6.5,2.0,4.5,17.0,1,0,1035.0,760.0,12.0,300.0
0.15,6.5,3.0,4.5,17.0,17,0,1275.0,965.0,8.0,375.0
0.15,6.5,4.0,4.5,17.0,16,0,1550.0,1480.0,1.0,402.0
0.15,2.0,1.0,9.0,18.0,11,3,620.0,275.0,55.0,147.0
0.15,2.0,1.0,9.0,18.0,0,3,860.0,515.0,12.0,250.0
0.15,2.0,1.0,9.0,18.0,9,3,585.0,240.0,60.0,147.0
0.15,2.0,1.0,9.0,18.0,9,4,620.0,240.0,50.0,160.0
0.15,2.0,1.0,9.0,18.0,13,4,690.0,415.0,40.0,228.0
0.08,2.0,1.0,9.25,19.0,9,5,585.0,235.0,60.0,149.0
0.08,2.0,1.0,9.25,19.0,4,5,690.0,415.0,45.0,212.0
0.08,2.0,1.0,9.25,19.0,15,5,860.0,655.0,25.0,275.0
0.12,2.0,1.0,11.75,18.0,10,6,585.0,260.0,50.0,147.0
0.08,2.0,1.0,11.0,20.0,9,7,585.0,205.0,55.0,150.0
0.2,2.0,1.0,13.5,23.0,9,8,655.0,275.0,45.0,156.0
0.25,2.0,1.5,20.5,25.0,10,9,620.0,310.0,45.0,163.0
0.25,2.0,1.5,20.5,25.0,9,9,655.0,275.0,45.0,160.0
0.25,2.0,2.25,20.5,24.5,9,10,689.0,345.0,45.0,180.0
0.08,2.0,1.0,12.0,17.0,10,11,580.0,290.0,50.0,143.0
0.08,2.0,1.0,12.0,17.0,9,11,550.0,240.0,60.0,149.0
0.08,2.0,1.0,12.0,17.0,6,11,620.0,415.0,45.0,190.0
0.08,2.0,1.0,13.0,19.0,10,12,620.0,275.0,45.0,163.0
0.08,2.0,1.0,13.0,19.0,9,12,585.0,275.0,50.0,160.0
0.08,2.0,1.0,10.5,18.0,10,13,620.0,240.0,45.0,147.0
0.08,2.0,1.0,10.5,18.0,9,13,585.0,240.0,55.0,150.0
0.08,2.0,1.0,10.5,18.0,6,13,655.0,415.0,40.0,185.0
0.08,2.0,0.875,35.5,18.5,9,14,585.0,290.0,45.0,147.0
0.08,2.0,1.0,18.0,16.0,12,15,515.0,240.0,55.0,121.0
